city;district;microdistrict;street;building;area;floor;num_of_rooms;price;url;picture
Челябинск;Калининский;;250-летия Челябинска;75;34;8;1;14000;https://arenda-022.ru/sdam/kvartira--250-letiya-chelyabinska-75_1622474764;https://arenda-022.ru/images/upload/2021_05_8945_496897_Челябинск.jpg
Челябинск;Тракторозаводский;;Трашутина;28;35;3;1;10000;https://arenda-022.ru/sdam/kvartira--trashutina-28_1622465277;https://arenda-022.ru/images/upload/2021_05_6619_970465_Челябинск.jpg
Челябинск;Центральный;;Сони Кривой;69;40;8;1;24000;https://arenda-022.ru/sdam/kvartira--soni-krivoy-69_1622469468;https://arenda-022.ru/images/upload/2021_05_4166_842043_Челябинск.jpg
Челябинск;Курчатовский;;Бейвеля;31;43;3;2;12000;https://arenda-022.ru/sdam/kvartira--beyvelya-31_1622441945;https://arenda-022.ru/images/upload/2021_05_4504_463616_Челябинск.jpg
Челябинск;Калининский;;Набережная;7В;34;4;1;9000;https://arenda-022.ru/sdam/kvartira-naberezhnaya-ul-7v_1622472402;https://arenda-022.ru/images/upload/2021_05_4221_460447_Челябинск.jpg
Челябинск;Тракторозаводский;;Марченко;14А;31;5;1;11000;https://arenda-022.ru/sdam/kvartira--marchenko-14a_1622471606;https://arenda-022.ru/images/upload/2021_05_3641_462902_Челябинск.jpg
Челябинск;Тракторозаводский;;Вязовая;29;25;5;1;11000;https://arenda-022.ru/sdam/kvartira-vyazovaya-ul-29_1622473731;https://arenda-022.ru/images/upload/2021_05_7559_694774_Челябинск.jpg
Челябинск;Ленинский;;Руставели;28;42;8;1;15000;https://arenda-022.ru/sdam/kvartira--rustaveli-28_1622445172;https://arenda-022.ru/images/upload/2021_05_9949_296828_Челябинск.jpg
Челябинск;Советский;;Степана Разина;2;32;4;1;12000;https://arenda-022.ru/sdam/kvartira--stepana-razina-2_1622454704;https://arenda-022.ru/images/upload/2021_05_3171_66747_Челябинск.jpg
Челябинск;Советский;;1-я Окружная;5;45;1;1;20000;https://arenda-022.ru/sdam/kvartira-1-ya-okruzhnaya-ul-5_1622459569;https://arenda-022.ru/images/upload/2021_05_761_662403_Челябинск.jpg
Челябинск;Курчатовский;;Звенигородская;54;60;6;2;18000;https://arenda-022.ru/sdam/kvartira-zvenigorodskaya-ul-54_1622473838;https://arenda-022.ru/images/upload/2021_05_2224_664420_Челябинск.jpg
Челябинск;Курчатовский;;Салавата Юлаева;1;45;8;1;11000;https://arenda-022.ru/sdam/kvartira--salavata-yulaeva-1_1622457402;https://arenda-022.ru/images/upload/2021_05_3837_461814_Челябинск.jpg
Челябинск;Тракторозаводский;;Комарова;39;54;6;2;13000;https://arenda-022.ru/sdam/kvartira--komarova-39_1622457523;https://arenda-022.ru/images/upload/2021_05_7758_261019_Челябинск.jpg
Челябинск;Центральный;;пр-т Ленина;36А;44;3;2;17000;https://arenda-022.ru/sdam/kvartira-pr-t-lenina-36a_1622474387;https://arenda-022.ru/images/upload/2021_05_4846_588585_Челябинск.jpg
Челябинск;Советский;;Телевизионная ул.;12Б;58;1;3;15000;https://arenda-022.ru/sdam/kvartira-televizionnaya-ul-12b_1622481982;https://arenda-022.ru/images/upload/2021_05_4862_971115_Челябинск.jpg
Челябинск;Калининский;;Академика Королёва;14;42;3;1;13000;https://arenda-022.ru/sdam/kvartira--akademika-koroleva-14_1622454948;https://arenda-022.ru/images/upload/2021_05_614_171346_Челябинск.jpg
